dst,in_degree,rank
438238,84208,1
401873,48205,2
184094,44290,3
768,44101,4
927,44067,5
184142,44041,6
184279,44037,7
184332,44034,8
33,44032,9
743,44022,10
210305,43908,11
210376,43878,12
272919,42828,13
68949,34943,14
86237,34943,15
86239,34943,16
68946,34943,17
86238,34943,18
68947,34943,19
77284,34943,20
95551,34943,21
96070,34943,22
95552,34943,23
68948,34943,24
66244,34943,25
66909,34943,26
601656,30744,27
319209,21177,28
571448,16696,29
571447,16696,30
571451,16686,31
570985,16682,32
284306,14738,33
299039,14732,34
299040,14092,35
313077,14028,36
451016,13734,37
316792,10971,38
623254,9157,39
623267,9078,40
477985,8526,41
481959,8508,42
479054,8508,43
477172,8508,44
627015,8465,45
623783,8430,46
613955,8430,47
273278,7598,48
280873,7595,49
417965,7500,50
